,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,seats
0,Maruti Alto Std,1.2,0.0,2012,1,120000.0,0,4,1,19.7,796.0,5
1,Hyundai Grand i10 Asta,5.5,7.11,2016,1,20000.0,0,4,1,18.9,1197.0,5
2,Hyundai i20 Asta,2.15,0.0,2010,1,60000.0,0,4,1,17.0,1197.0,5
3,Maruti Alto K10 2010-2014 VXI,2.26,0.0,2012,1,37000.0,0,4,1,20.92,998.0,5
4,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,5.7,10.14,2015,0,30000.0,0,1,1,22.77,1498.0,5
5,Maruti Wagon R VXI BS IV,3.5,5.16,2013,1,35000.0,0,4,1,18.9,998.0,5
6,Hyundai i10 Sportz 1.2,3.15,6.54,2013,0,40000.0,0,4,1,20.36,1197.0,5
7,Maruti Wagon R VXI,4.1,5.26,2018,0,17512.0,0,4,1,20.51,998.0,5
8,Hyundai Venue SX Plus Turbo DCT BSIV,10.5,7.7,2019,1,20000.0,0,4,0,18.15,998.0,5
9,Mahindra TUV 300 T6,5.75,0.0,2017,0,70000.0,0,1,1,18.49,1493.0,5
10,Tata Indigo LX (TDI) BS-III,3.05,0.0,2015,1,50000.0,0,1,1,19.09,1405.0,5
11,Renault Captur Platine Dual Tone Diesel,11.5,0.0,2019,1,18000.0,0,1,1,20.37,1461.0,5
12,Maruti Swift VXI with ABS,5.11,6.35,2017,0,28321.0,0,4,1,16.6,1197.0,5
13,Nissan Micra XL CVT,4.1,0.0,2016,0,27000.0,0,4,0,19.34,1198.0,5
14,Hyundai Verna 1.6 SX,4.25,13.09,2013,0,65278.0,0,1,1,22.32,1582.0,5
15,Renault Duster 110PS Diesel RxL Explore,7.5,0.0,2016,1,50000.0,0,1,1,19.64,1461.0,5
16,Mini Cooper Cooper S,32.5,0.0,2017,0,6000.0,0,4,0,14.41,1998.0,5
17,Maruti Ciaz ZDi Plus SHVS,6.5,0.0,2016,0,76000.0,0,1,1,28.09,1248.0,5
18,Maruti Swift VDI BSIV,6.27,0.0,2016,1,20000.0,0,1,1,25.2,1248.0,5
19,Mercedes-Benz C-Class C 220 CDI Avantgarde,14.25,51.3,2014,0,65000.0,0,1,0,19.27,2143.0,5
20,Maruti Swift VDI,4.25,0.0,2014,0,62200.0,0,1,1,28.4,1248.0,5
21,Toyota Innova 2.5 GX (Diesel) 8 Seater,6.05,0.0,2013,1,110000.0,0,1,1,12.99,2494.0,5
22,Maruti Baleno Zeta 1.2,6.0,6.81,2015,1,20000.0,0,4,1,21.4,1197.0,5
23,Maruti Swift Dzire VXI,5.75,6.98,2016,1,40000.0,0,4,1,20.85,1197.0,5
24,Fiat Grande Punto 1.3 Emotion Pack (Diesel),2.6,0.0,2012,1,97000.0,0,1,1,17.8,1248.0,5
25,Volkswagen Vento 1.6 Comfortline BSIV,4.25,10.12,2013,0,47000.0,0,4,1,16.09,1598.0,5
26,Maruti Alto K10 2010-2014 VXI,2.3,0.0,2013,0,25000.0,0,4,1,20.92,998.0,5
27,Hyundai Creta 1.6 CRDi SX,12.25,10.95,2019,1,15000.0,0,1,1,19.67,1582.0,5
28,Mahindra Xylo H9,3.75,0.0,2010,0,56823.0,0,1,1,14.02,2179.0,5
29,Honda City i VTEC VX,7.5,12.36,2015,1,50000.0,0,4,1,17.4,1497.0,5
30,Mahindra Bolero SLE BSIII,3.5,9.05,2011,1,25000.0,0,1,1,13.6,2523.0,5
31,Maruti Swift Dzire VDI,6.0,0.0,2015,1,90000.0,0,1,1,26.59,1248.0,5
32,Maruti Swift Dzire LDI,3.9,0.0,2013,0,45000.0,0,1,1,26.59,1248.0,5
33,Honda City 2017-2020 GXi,1.45,12.68,2007,0,77253.0,0,4,1,17.7,1497.0,5
34,Hyundai i20 Active 1.2 SX,7.0,0.0,2018,1,25000.0,0,4,1,17.19,1197.0,5
36,Renault KWID Climber 1.0 MT,3.4,3.81,2017,1,30000.0,0,4,1,23.01,999.0,5
37,Honda Amaze S Petrol,4.65,7.04,2016,0,39993.0,0,4,1,18.6,1199.0,5
38,Hyundai Santro Xing GLS,1.25,0.0,2009,1,80000.0,0,4,1,17.92,1086.0,5
39,Mahindra XUV500 W8 2WD,6.0,16.59,2012,1,185000.0,0,1,1,15.1,2179.0,5
40,Maruti Swift Dzire VDI,3.8,0.0,2013,1,90000.0,0,1,1,23.4,1248.0,5
